IncidentID,Title,Severity,ErrorRatePercentage,P95LatencyMs,P99LatencyMs,ServiceImpact,DetectedAt,AcknowledgedAt,ResolvedAt,InitialResponseTimeMinutes,ResolutionTimeMinutes,SLABreached,BreachType,RootCause,CustomerImpactMinutes,Note
INC-API-001,Payment API 100% error rate - Database connection failure,critical,100,,,complete outage,2024-03-05T10:15:00Z,2024-03-05T10:18:00Z,2024-03-05T11:45:00Z,3,90,false,,Database connection pool exhaustion,90,Edge case: Resolved 30 minutes before SLA threshold (120 min)
INC-API-002,P95 latency SLA breach - High memory usage,medium,0.3,850,,degraded performance,2024-03-07T14:20:00Z,2024-03-07T15:15:00Z,2024-03-07T19:10:00Z,55,290,false,,Memory leak in payment processing service,,Edge case: Resolved 10 minutes before medium severity SLA (300 min)
INC-API-003,P99 latency SLA breach across all endpoints,medium,0.45,,1200,slow responses,2024-03-10T23:50:00Z,2024-03-11T00:10:00Z,2024-03-11T08:45:00Z,20,475,true,resolution_time,Network latency from CDN provider,,"Edge case: Incident starts on Mar 10, resolves on Mar 11 (spans days)"
INC-API-004,Critical outage - Load balancer failure,critical,100,,,complete outage,2024-03-15T03:00:00Z,2024-03-15T03:12:00Z,2024-03-15T04:55:00Z,12,115,false,,Hardware failure in primary load balancer,,Edge case: Resolved 5 minutes before SLA threshold (120 min)
INC-API-005,Response time degradation - Just above threshold,low,0.35,501,,minor degradation,2024-03-18T12:00:00Z,2024-03-18T13:45:00Z,2024-03-18T13:50:00Z,105,110,false,,Increased transaction volume,,Edge case: P95 latency 501ms (just 1ms above 500ms threshold)
INC-API-006,Multiple cascading failures - Error rate spike,high,4.2,,,partial outage,2024-03-20T18:30:00Z,2024-03-20T18:40:00Z,2024-03-20T22:15:00Z,10,225,false,,Third-party payment gateway rate limiting,,Edge case: Error rate 4.2% (exceeds 2% critical threshold but within high severity band)
INC-API-007,Brief spike exactly at SLA threshold,critical,5.0,,,complete outage,2024-03-22T11:00:00Z,2024-03-22T11:14:00Z,2024-03-22T12:00:00Z,14,60,false,,Configuration deployment error,,"Edge case: Error rate exactly 5.0% (critical threshold boundary), resolved well within SLA"
INC-API-008,Slow response time - Just below threshold,low,0.2,499,,minor latency,2024-03-25T09:30:00Z,2024-03-25T10:15:00Z,2024-03-25T10:20:00Z,45,50,false,,Temporary DNS resolution delay,,"Edge case: P95 latency 499ms (1ms below 500ms threshold, no breach)"
INC-API-009,Double failure on month boundary,critical,100,,,complete outage,2024-03-31T23:45:00Z,2024-03-31T23:50:00Z,2024-04-01T00:30:00Z,5,45,false,,Automated backup process interference,,Edge case: Incident spans month boundary (Mar 31 to Apr 1) - affects two SLA periods
INC-API-010,P99 latency breach - Exactly 1 hour duration,medium,0.48,,1050,degraded performance,2024-03-28T15:00:00Z,2024-03-28T15:58:00Z,2024-03-28T16:00:00Z,58,60,false,,Database query optimization regression,,Edge case: Exactly 60 minutes duration (rolling window edge case)
