IncidentID,Title,Severity,Stage,JobPostedDate,DaysToHire,TargetDaysToHire,OnboardingDays,TrainerExperienceYears,SkillAssessmentScore,TeachingDemoRating,FirstSessionSatisfaction,AverageSatisfaction,TargetSatisfaction,ScheduleAdherencePercent,AttendancePercent,IncidentDetectedDate,IncidentResolvedDate,ResponseTimeHours,ResolutionTimeHours,SLABreached,BreachType,RootCause,CorrectiveAction,Note
TRAIN-H-001,Smooth trainer hiring and onboarding - All SLA targets met,low,Complete Hiring & Onboarding Cycle,2024-03-01,16,30,14,7,92,8.5,8.8,,,100,,,,,,false,,N/A,,Edge case: Exceptionally fast hiring (16 days vs 30 target) with excellent performance metrics
TRAIN-H-002,Trainer hiring delayed - Slow assessment process,medium,Technical Assessment,2024-03-02,23,,,,88,,,,,,,2024-03-12T10:00:00Z,2024-03-16T17:00:00Z,8,120,false,,External assessment vendor delay - high volume,Switched to in-house assessment team,Edge case: Assessment delayed 1 day past SLA but within acceptable bounds (6 vs 5 days)
TRAIN-H-003,Trainer onboarding extends beyond 14-day SLA,medium,Onboarding,,,,17,,,,,,,,,2024-03-31T09:00:00Z,2024-04-03T16:00:00Z,24,79,false,,Platform training vendor delayed session scheduling,Expedited training with dedicated facilitator,Edge case: 3-day delay in onboarding (17 vs 14 days) but within acceptable variance
TRAIN-H-004,Trainer certification expires within 3 months,high,Compliance & Certification,,,,,,,,,,,,,2024-03-20T10:00:00Z,2024-03-22T15:00:00Z,4,53,true,certification_expiry_risk,,"Scheduled recertification training for May, created backup trainer plan",Edge case: Trainer certified but expiry within 3 months - requires early recertification planning
TRAIN-H-005,Learner satisfaction drops to 5.5/10 after first week,critical,Live Training & Performance,,,,,,,,5.5,,8.0,,,2024-03-22T14:00:00Z,2024-03-27T16:00:00Z,2,122,true,learner_satisfaction_below_threshold,"Trainer pacing too fast, unclear explanations, limited interaction","Performance improvement plan initiated, paired with senior trainer mentor",Edge case: Critical drop in learner satisfaction (5.5 vs 8.0 target) triggers intervention
TRAIN-H-006,Trainer achieves perfect satisfaction score (10/10),low,Live Training & Performance,,,,,,,,,,8.0,,,,,,,false,,N/A,,Edge case: Perfect satisfaction score (10/10) demonstrates exceptional trainer performance
TRAIN-H-007,Trainer misses scheduled session - No-show incident,critical,Live Training & Performance,,,,,,,,,,,,,2024-03-20T09:15:00Z,2024-03-20T14:00:00Z,0.5,4.75,true,trainer_no_show,,"Backup trainer deployed, incident documented, medical condition verified",Edge case: Critical no-show due to emergency but quickly resolved with backup trainer
TRAIN-H-008,Training material quality issue - Content non-compliance,high,Training Delivery,,,,,,,,,,,,,,2024-03-25T17:00:00Z,8,80,true,training_material_quality_below_target,"Trainer used outdated curriculum version, failed to review before session","Updated materials, curriculum review training provided",Edge case: Material quality significantly below target (6.5 vs 8.5) requiring remediation
TRAIN-H-009,Trainer performance gradually declines over 4 weeks,high,Ongoing Performance Management,,,,,,,,8.8,,,,,2024-03-28T10:00:00Z,2024-04-02T16:00:00Z,24,102,false,,"Trainer fatigue, increased course load without preparation time","Adjusted schedule, added prep time between sessions, mentoring support",Edge case: Gradual performance decline pattern detected and addressed before critical breach
TRAIN-H-010,Trainer requests schedule modification mid-month,medium,Ongoing Training Management,,,,,,,,,,,,,2024-03-15T14:00:00Z,2024-03-17T16:00:00Z,8,50,false,,"Trainer personal scheduling conflict, childcare needs","Approved modified schedule starting next month, reassigned courses accordingly",Edge case: Mid-month schedule change requires coordination but within SLA response time
TRAIN-H-011,Last-minute trainer replacement due to medical emergency,critical,Live Training & Performance,,,,,,,,,,,,,2024-03-25T06:30:00Z,2024-03-25T15:00:00Z,0.5,8.5,false,,Original trainer hospitalized - acute medical condition,"Incident documented, medical leave approved, backup trainer thanked",Edge case: Critical emergency with 4-hour notice but successfully managed with backup trainer
TRAIN-H-012,Training delays due to platform technical issues,high,Live Training & Performance,,,,,,,,,,,,,2024-03-28T09:45:00Z,2024-03-28T10:45:00Z,0.25,1,false,,Platform vendor infrastructure issue - power outage at data center,,Edge case: Technical platform outage (SLA exclusion) with quick resolution
TRAIN-H-013,Hiring timeline significantly exceeded - 45 days to hire,high,Complete Hiring Cycle,2024-02-01,45,30,,,,,,,,,,2024-02-28T10:00:00Z,2024-03-19T16:00:00Z,8,432,true,hiring_timeline_exceeded,"Extended offer negotiation, candidate requests for schedule flexibility","Expedited onboarding, approved schedule modifications",Edge case: 45-day hiring (exceeds 30-day target by 15 days) - 15% signing bonus reduction applied
TRAIN-H-014,Multiple trainers assigned to same course - Coordination issues,medium,Live Training & Performance,,,,,,,,,,,,,2024-03-19T15:00:00Z,2024-03-23T17:00:00Z,24,98,false,,"Lack of coordination between trainers, insufficient handoff documentation","Implemented joint planning sessions, unified curriculum version, daily sync meetings",Edge case: Multiple trainers on same course require tight coordination and consistent standards
TRAIN-H-015,Trainer exceptional first month - All metrics exceed targets,low,Ongoing Performance Management,,,,,,,,,9.2,8.0,100,100,,,,,false,,N/A,,Edge case: Exceptional performance across all metrics (15%+ above targets) in first month
