IncidentID,Title,Severity,AvailabilityImpactPercentage,QueryFailureRatePercentage,ReplicationLagMs,SLAThresholdMs,P99QueryLatencyMs,QueryTimeoutRatePercentage,DetectedAt,AcknowledgedAt,ResolvedAt,InitialResponseTimeMinutes,ResolutionTimeMinutes,FailoverInitiatedAt,RecoveryTimeMinutes,RTOSLAMinutes,DataLossMinutes,RPOSLAMinutes,SLABreached,BreachType,RootCause,BackupUsed,Note
INC-DB-001,Complete database unavailability - Hardware failure,critical,100,100,,,,,2024-03-03T08:00:00Z,2024-03-03T08:04:00Z,2024-03-03T08:52:00Z,4,,2024-03-03T08:15:00Z,52,60,0,60,false,,Primary node disk failure,hourly backup from 08:00,Edge case: Recovery time 52 minutes (well within 60 min RTO)
INC-DB-002,Replication lag exceeds threshold,low,,,250,100,,,2024-03-05T14:30:00Z,2024-03-05T14:35:00Z,2024-03-05T14:45:00Z,,,,,,,,false,,Network congestion between data centers,,Edge case: 1st acceptable breach - still within monthly limit of 2
INC-DB-003,Query latency SLA breach - High lock contention,medium,,2.5,,500,750,,2024-03-08T10:20:00Z,2024-03-08T10:32:00Z,2024-03-08T14:15:00Z,12,235,,,,,,false,,Unoptimized batch job causing table locks,,Edge case: Resolved just before 240 min SLA threshold
INC-DB-004,Backup failure during peak hours,medium,,,,,,,2024-03-10T22:00:00Z,2024-03-10T22:08:00Z,,8,25,,,,,,,,Insufficient storage space on backup volume,,Edge case: Single backup failure - still maintains >99.5% success rate for month
INC-DB-005,Recovery time approaches RTO boundary,critical,100,,,,,,2024-03-12T16:45:00Z,2024-03-12T16:48:00Z,2024-03-12T18:44:00Z,3,,2024-03-12T17:00:00Z,119,120,,,false,,Secondary replica initialization timeout,,Edge case: Recovery time 119 minutes (1 minute before RTO breach)
INC-DB-006,Cascading replication failures,high,,,5000,100,,,2024-03-15T03:20:00Z,2024-03-15T03:28:00Z,2024-03-15T05:10:00Z,8,,,,,,,false,,Replica node running out of memory,,Edge case: 2nd acceptable breach - at the limit of monthly allowance
INC-DB-007,Query performance degradation at threshold,medium,,0.05,,500,500,,2024-03-18T11:00:00Z,2024-03-18T11:14:00Z,2024-03-18T11:20:00Z,14,20,,,,,,false,,Index rebuild in progress,,Edge case: P99 latency exactly at 500ms threshold (no breach)
INC-DB-008,Multiple node failures - Extended recovery,critical,100,,,,,,2024-03-20T19:30:00Z,2024-03-20T19:33:00Z,2024-03-20T21:20:00Z,3,,2024-03-20T19:45:00Z,110,120,35,60,false,,Unplanned power loss in primary data center,,"Edge case: Data loss 35 minutes (within 60 min RPO), recovery 110 min (within 120 min RTO)"
INC-DB-009,Third acceptable replication breach within month,low,,,180,100,,,2024-03-25T13:45:00Z,2024-03-25T13:52:00Z,2024-03-25T14:00:00Z,,,,,,,,true,replication_lag_exceeds_allowance,Network maintenance window,,Edge case: 3rd breach exceeds monthly allowance of 2 - BREACH
INC-DB-010,Recovery time exceeds RTO by seconds,critical,100,,,,,,2024-03-28T06:00:00Z,2024-03-28T06:02:00Z,2024-03-28T07:21:00Z,2,,2024-03-28T06:10:00Z,81,120,,,false,,Disk space insufficient for failover initialization,,Edge case: Falls within RTO; demonstrates timing precision needed
INC-DB-011,Month boundary outage - SLA period split,critical,100,,,,,,2024-03-31T23:30:00Z,2024-03-31T23:33:00Z,2024-04-01T01:05:00Z,3,,2024-04-01T00:00:00Z,95,120,,,false,,Automated maintenance script error,,Edge case: Incident spans from March to April - affects two separate SLA periods
