IncidentID,Title,Severity,Stage,JobPostedDate,DaysToHire,TargetDaysToHire,InterviewCompletionRatePercent,OfferAcceptanceRatePercent,BackgroundCheckApprovalPercent,NoShowRatePercent,AcceptableNoShowRatePercent,IncidentDetectedDate,IncidentResolvedDate,ResponseTimeHours,ResolutionTimeHours,SLABreached,BreachType,RootCause,CorrectiveAction,Note
HIRE-T-001,Smooth hiring process - Within all SLA targets,low,Complete Hiring Cycle,2024-03-01,24,45,100,100,100,,,,,,,false,,N/A,,Edge case: Exceptionally fast hiring (24 days vs 45 target) - tests lower boundary
HIRE-T-002,Candidate no-show on first interview,high,First Interview Round,2024-03-02,,,80,,,20,,2024-03-10T09:30:00Z,2024-03-13T14:00:00Z,2,76,false,,Candidate technical issue (internet connectivity),,Edge case: Single no-show within acceptable 5% rate but causes schedule delay
HIRE-T-003,Screening completion delayed beyond 5-day SLA,medium,Resume Screening,2024-03-03,,,,,,,,2024-03-09T09:00:00Z,2024-03-12T17:00:00Z,24,80,false,,HR team member on medical leave - high volume backlog,Hired temp screener,Edge case: 4-day delay (1 day from threshold) - causes downstream delays
HIRE-T-004,Multiple candidate no-shows in first round,high,First Interview Round,2024-03-04,,,75,,,20,5,2024-03-13T10:00:00Z,2024-03-17T16:00:00Z,8,96,true,interview_completion_rate_below_target,Candidates had conflicting interviews with other organizations,Added backup candidates to pipeline,Edge case: No-show rate 20% exceeds acceptable 5% limit - SLA BREACH
HIRE-T-005,Candidate withdraws after final interview,critical,Offer Stage,2024-03-05,,,,0,,,,2024-03-19T14:00:00Z,2024-03-28T12:00:00Z,4,216,true,critical_hiring_stage_failure,Candidate received better offer from competitor,Approached 2nd choice candidate with expedited offer,"Edge case: Candidate dropout at final stage - causes critical SLA impact, need to restart process"
HIRE-T-006,Background check delayed - documentation missing,high,Background Verification,,,,,,100,,,2024-03-27T10:30:00Z,2024-04-05T15:00:00Z,6,189,false,,Candidate initially submitted incomplete documentation,Sent automated document checklist to candidate upfront,Edge case: 3-day delay (within 10-day SLA) but on the boundary of acceptable
HIRE-T-007,Interview scheduled but repeatedly rescheduled,medium,Second Interview Round,,,,70,,,,,2024-03-20T11:00:00Z,2024-03-26T14:00:00Z,24,147,false,,Interviewer scheduling conflicts - multiple calendar conflicts,Assigned backup interviewer to expedite,"Edge case: Multiple rescheduling (3 times) causes frustration, tests interviewer availability"
HIRE-T-008,Position filled exceptionally fast - Quality concern,low,Complete Hiring Cycle,2024-03-01,7,45,100,100,100,,,,,,,false,,"Excellent fit candidate, minimal time spent on evaluation",,Edge case: Hiring completed in 7 days (16% of 45-day SLA) - tests lower boundary and quality validation
HIRE-T-009,Offer acceptance negotiation extends timeline,medium,Offer & Negotiation,,,,,,,,,2024-03-22T09:00:00Z,2024-04-02T16:00:00Z,12,264,false,,Candidate requested salary adjustment and benefits modification,Approved reasonable salary increase,Edge case: 13 days for acceptance vs 10-day target (3 days over) but still resolved
HIRE-T-010,Background check failure - Additional investigation required,high,Background Verification,,,,,,,,,2024-03-28T14:30:00Z,2024-04-09T17:00:00Z,8,468,false,,University transcript showed slight discrepancy in degree completion date,"Verified with university registrar - minor clerical error, approved",Edge case: Background check takes 19 days (just under 20-day extended SLA) due to verification complexity
HIRE-T-011,Onboarding delayed - Incomplete training materials,medium,Onboarding,,,,,,,,,2024-03-31T10:00:00Z,2024-05-05T16:00:00Z,24,1152,false,,Learning management system update delayed training material upload,"Used paper-based materials temporarily, migrated to LMS after update",Edge case: Onboarding delayed 5 days but still within 30-day completion window
HIRE-T-012,Hiring timeline exceeded 60 days - Position critically unfilled,critical,Extended Hiring Cycle,2024-02-15,65,45,,,,,,2024-04-05T09:00:00Z,2024-04-20T17:00:00Z,4,360,true,critical_timeline_exceeded,"First candidate withdrew after offer, required complete restart with 2nd candidate, multiple background check delays","Expedited onboarding, added signing bonus, expanded recruitment team","Edge case: 65 days (44% over target 45 days, 5 days over critical 60-day threshold) - CRITICAL BREACH"
HIRE-T-013,Month-end hiring deadline pressure with multiple candidates,high,Offer & Final Rounds,2024-03-10,,,,33,,,,2024-03-31T16:00:00Z,2024-04-08T14:00:00Z,8,190,true,offer_acceptance_rate_below_target,"Month-end deadline pressure led to simultaneous multiple offers, competing organizations made counter-offers","Staggered offers next month, offered signing bonus to first acceptor","Edge case: Simultaneous offers with competing deadline pressure, only 1/3 acceptance (33% vs 70% target)"
HIRE-T-014,Candidate communication delays - Poor response rate,low,Multiple Stages,,,,95,,,,,2024-03-06T10:00:00Z,2024-03-10T14:00:00Z,48,96,false,,Candidate was working and responded outside business hours,,Edge case: Exactly 48-hour response time (at boundary) but process continues smoothly
HIRE-T-015,Perfect hiring cycle - All metrics exceed targets,low,Complete Hiring Cycle,2024-03-08,15,45,,100,100,,,,,,,false,,N/A - Excellent execution,,Edge case: 15 days to hire (33% of target) - exceptional efficiency with all metrics exceeding targets
