incident_date,uptime_percent,avg_response_time,error_rate,transaction_count
2024-01-01,99.5,1.8,0.1,50000
2024-01-02,99.2,1.9,0.05,52000
2024-01-03,98.8,2.5,0.15,48000
2024-01-04,99.1,2.1,0.08,51000
2024-01-05,98.5,3.2,0.25,45000
2024-01-06,97.8,4.5,0.35,42000
2024-01-07,99.0,1.7,0.02,55000
2024-01-08,99.3,1.9,0.04,53000
2024-01-09,98.2,3.8,0.28,43000
2024-01-10,99.4,1.5,0.01,56000
2024-01-11,99.1,2.0,0.07,52000
2024-01-12,98.7,2.8,0.18,46000
2024-01-13,99.2,1.8,0.05,54000
2024-01-14,97.5,5.2,0.4,40000
2024-01-15,99.0,1.9,0.03,51000
2024-01-16,99.3,1.6,0.02,55000
2024-01-17,98.9,2.2,0.12,49000
2024-01-18,99.1,1.95,0.06,52000
2024-01-19,96.8,6.1,0.45,38000
2024-01-20,99.2,1.75,0.04,54000
2024-01-21,99.0,1.85,0.05,51000
2024-01-22,98.4,3.1,0.22,44000
2024-01-23,99.3,1.7,0.01,56000
2024-01-24,99.1,1.95,0.07,52000
2024-01-25,98.1,3.9,0.3,42000
2024-01-26,99.4,1.5,0.02,57000
2024-01-27,99.2,1.8,0.04,54000
2024-01-28,98.6,2.6,0.16,47000
2024-01-29,99.0,1.9,0.06,51000
2024-01-30,99.3,1.7,0.02,55000
2024-01-31,99.1,1.95,0.05,53000
